Fecha,Pronostico,Temperatura máxima,Temperatura mínima
Hoy,Mayormente soleado,37°,26°
dom 13,Parcialmente nublado,37°,24°
lun 14,Parcialmente nublado,36°,24°
mar 15,Soleado,37°,24°
mié 16,Soleado,37°,25°
jue 17,Mayormente soleado,39°,26°
vie 18,Mayormente soleado,39°,25°
sáb 19,Mayormente soleado,38°,25°
dom 20,Mayormente soleado,38°,25°
lun 21,Mayormente soleado,37°,25°
mar 22,Mayormente soleado,37°,24°
mié 23,Mayormente soleado,37°,24°
jue 24,Parcialmente nublado,37°,24°
vie 25,Parcialmente nublado,37°,24°
sáb 26,Parcialmente nublado,37°,24°
