Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD Externo Adata SE880, 1TB, USB-C 3.2, Gris",AELI-SE880-1TCGY,"$1,197.00","$1,079.00",$99.00,38
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,859.00","$1,009.00",Envío gratis,201
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$168.00,$99.00,¡1
"Nexxt Solutions Foco LED Inteligente NHB-W310, WiFi, Luz Fria/Cálida, 4W, 400 Lúmenes, Ahorro de 87% vs Foco Tradicional 40W - 3 Piezas",NHB-W310 3PK,"$1,019.00",$381.00,$99.00,20
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$51.00,$99.00,5
"Yeyian Audífonos Gamer Force S3000, Alámbrico, 2.2 Metros, 3.5mm, Gris ― ¡Compra productos Yeyian y gana 1 de los 4 pases dobles al Gamergy 2023!",YDF-33401G,$407.00,$179.00,$99.00,1011
"Zebra Rollo de Etiquetas Z-Select 4000T, 1.188"" x 0.84"", 3000 Etiquetas, 6 Rollos",10009522,"$1,169.00",$195.00,$99.00,48
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,$976.00,$482.00,$99.00,12
"Memoria RAM Lenovo 4ZC7A08709 DDR4, 2933MHz, 32GB",4ZC7A08709,"$9,368.00","$1,649.00",$99.00,19
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$21.00,$99.00,3
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,171.00",$779.00,$99.00,6
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$115.00,$99.00,204
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$874.00,$629.00,$99.00,998
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,934.00","$1,349.00",$99.00,4
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$682.00,$472.00,$99.00,273
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$803.00,$559.00,$99.00,11
"X-Case Placa de Pared de 1 Puerto HDMI, Blanco",HDMIPLA01,$348.00,$76.00,$99.00,52
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Negro (Inglés)",920-009495,"$3,519.00","$2,529.00",$99.00,16
"Dell Docking Station DA310 USB-C, 2x USB-A, 1x USB-C, 1x HDMI, 1x DisplayPort, 1x RJ-45, Gris",470-AETL,"$2,349.00","$1,339.00",$99.00,252
"Logitech Audífonos con Micrófono Zone Vibe 100, Bluetooth, Inalámbrico, Rosa",981-001223,"$1,590.00","$1,039.00",$99.00,10
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$694.00,$437.00,$99.00,2
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,719.00","$1,919.00",$99.00,8
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,084.00","$1,809.00",Envío gratis,15
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,311.00",$929.00,$99.00,10
